title,year,organization
The Dispersion of Joint Source-Channel Coding.,2011,Tel Aviv University
Domain Adaptation for Statistical Classifiers.,2011,University of Maryland
Explanation-Based Auditing.,2011,University of Michigan
Fixed-Parameter Tractability of Directed Multiway Cut Parameterized by the Size of the Cutset.,2011,University of Maryland
Estimates on the Size of Symbol Weight Codes.,2011,University of Maryland
A Near-Optimal Sublinear-Time Algorithm for Approximating the Minimum Vertex Cover Size.,2011,Tel Aviv University
Constructions of Rank Modulation Codes.,2011,University of Maryland
Synthesis and Optimization of Reversible Circuits - A Survey.,2011,University of Michigan
Resource Allocation Among Agents with MDP-Induced Preferences.,2011,University of Michigan
Testing perfection is hard.,2011,Tel Aviv University
Network Clustering Approximation Algorithm Using One Pass Black Box Sampling.,2011,University of Maryland
Multi-criteria Anomaly Detection using Pareto Depth Analysis.,2011,University of Michigan
On Consistency of Community Detection in Networks.,2011,University of Michigan
Effective Stiffness: Generalizing Effective Resistance Sampling to Finite Element Matrices.,2011,Tel Aviv University
Wiretap Channels: Implications of the More Capable Condition and Cyclic Shift Symmetry.,2011,University of Maryland
Improvement Of Barreto-Voloch Algorithm For Computing $r$th Roots Over Finite Fields.,2011,University of Maryland
Welfare and Profit Maximization with Production Costs.,2011,Tel Aviv University
From Total Assignment Enumeration to Modern SAT Solver.,2011,Tel Aviv University
A Heuristic Description of Fast Fourier Transform.,2011,University of Maryland
Query-time Entity Resolution.,2011,University of Maryland
Nearly Complete Graphs Decomposable into Large Induced Matchings and their Applications.,2011,Tel Aviv University
Tight Approximation of Image Matching.,2011,Tel Aviv University
Recipe recommendation using ingredient networks.,2011,University of Michigan
The Anatomy of the Facebook Social Graph.,2011,University of Michigan
Grid Security and Integration with Minimal Performance Degradation.,2011,University of Michigan
Adleman-Manders-Miller Root Extraction Method Revisited.,2011,University of Maryland
Renewal-Theoretical Dynamic Spectrum Access in Cognitive Radio Networks with Unknown Primary Behavior.,2011,University of Maryland
Explicit Group Testing Scheme that Identifies Almost All Defective Configurations.,2011,University of Maryland
Testing the fairness of citation indicators for comparison across scientific domains: the case of fractional citation counts.,2011,University of Maryland
An Efficient Game Form for Multi-rate Multicast Service Provisioning.,2011,University of Michigan
REX: Explaining Relationships between Entity Pairs.,2011,University of Michigan
AWGN Channel under Time-Varying Amplitude Constraints with Causal Information at the Transmitter.,2011,University of Maryland
Scaling algorithms for approximate and exact maximum weight matching.,2011,University of Michigan
A Novel Multipath Approach to Security in Mobile Ad Hoc Networks (MANETs).,2011,University of Michigan
"Chinese Restaurant Game - Part II: Applications to Wireless Networking, Cloud Computing, and Online Social Networking.",2011,University of Maryland
Chinese Restaurant Game - Part I: Theory of Learning with Negative Network Externality.,2011,University of Maryland
Performance of the Eschenauer-Gligor key distribution scheme under an ON/OFF channel.,2011,University of Maryland
Modeling Tiered Pricing in the Internet Transit Market.,2011,University of Maryland
Conjoining Speeds up Information Diffusion in Overlaying Social-Physical Networks.,2011,University of Maryland
Stability vs. Cost of Matchings.,2011,Tel Aviv University
AdCell: Ad Allocation in Cellular Networks.,2011,University of Maryland
High-Rank Matrix Completion and Subspace Clustering with Missing Data.,2011,University of Michigan
Partially Symmetric Functions are Efficiently Isomorphism-Testable.,2011,Tel Aviv University
On the Stability of Random Multiple Access with Stochastic Energy Harvesting.,2011,University of Maryland
Neighbor Discovery in a Wireless Sensor Network: Multipacket Reception Capability and Physical-Layer Signal Processing.,2011,University of Maryland
Faster Subset Selection for Matrices and Applications.,2012,Tel Aviv University
Putting Lipstick on Pig: Enabling Database-style Workflow Provenance.,2012,Tel Aviv University
Topological Trends of Internet Content Providers.,2012,Tel Aviv University
N-k-e Survivable Power System Design.,2012,University of Michigan
Exact Symbolic-Numeric Computation of Planar Algebraic Curves.,2012,Tel Aviv University
Quickest Search over Brownian Channels.,2012,University of Michigan
A Performance Metric for Discrete-Time Chaos-Based Truly Random Number Generators.,2012,University of Michigan
Eigen-Direction Alignment Based Physical-Layer Network Coding for MIMO Two-Way Relay Channels.,2012,University of Maryland
"Optimal Allocation of Interconnecting Links in Cyber-Physical Systems: Interdependence, Cascading Failures and Robustness.",2012,University of Maryland
Mean-Payoff Pushdown Games.,2012,Tel Aviv University
A Novel Approach to Fast Image Filtering Algorithm of Infrared Images based on Intro Sort Algorithm.,2012,University of Michigan
The Role of Social Networks in Information Diffusion.,2012,University of Michigan
Compressive Acquisition of Dynamic Scenes.,2012,University of Maryland
Online Multi-Commodity Flow with High Demands.,2012,Tel Aviv University
Efficient FMM accelerated vortex methods in three dimensions via the Lamb-Helmholtz decomposition.,2012,University of Maryland
"A Distance Spectrum Based, Upper Error Bound for Lattices.",2012,Tel Aviv University
How Accurate is inv(A)*b?,2012,Tel Aviv University
Attainability in Repeated Games with Vector Payoffs.,2012,Tel Aviv University
Throughput Optimal Switching in Multi-channel WLANs.,2012,University of Michigan
The Jacobi MIMO Channel.,2012,Tel Aviv University
Universal communication over unknown vector channels.,2012,Tel Aviv University
An Outer Bound for the Vector Gaussian CEO Problem.,2012,University of Maryland
Gaussian Rate-Distortion via Sparse Regression over Compact Dictionaries.,2012,University of Michigan
Asymptotically Good Codes Over Non-Abelian Groups.,2012,University of Michigan
Nested Lattice Codes for Arbitrary Continuous Sources and Channels.,2012,University of Michigan
Stone Age Distributed Computing.,2012,Tel Aviv University
Robust 1-bit compressed sensing and sparse logistic regression: A convex programming approach.,2012,University of Michigan
Optimal Sum-Rate of the Vector Gaussian CEO Problem.,2012,University of Maryland
Signaling Schemes for Revenue Maximization.,2012,Tel Aviv University
Multi-outcome and Multidimensional Market Scoring Rules.,2012,University of Michigan
Fast Distributed Algorithms for Maximal Matching and Maximal Independent Set.,2012,University of Michigan
Hierarchies of Local-Optimality Characterizations in Decoding Tanner Codes.,2012,Tel Aviv University
Fast Adaptive S-ALOHA Scheme for Event-driven Machine-to-Machine Communications.,2012,University of Maryland
"Active Diagnosis via AUC Maximization: An Efficient Approach for Multiple Fault Identification in Large Scale, Noisy Networks.",2012,University of Michigan
The Structure of Signals: Causal Interdependence Models for Games of Incomplete Information.,2012,University of Michigan
Simple transmission strategies for interference channel.,2012,University of Michigan
Q- and A-learning Methods for Estimating Optimal Dynamic Treatment Regimes.,2012,University of Michigan
Space-Constrained Interval Selection.,2012,Tel Aviv University
On the Power of Manifold Samples in Exploring Configuration Spaces and the Dimensionality of Narrow Passages.,2012,Tel Aviv University
A Regularized Graph Layout Framework for Dynamic Network Visualization.,2012,University of Michigan
Protocols for Learning Classifiers on Distributed Data.,2012,University of Maryland
k-Color Multi-Robot Motion Planning.,2012,Tel Aviv University
Prime tight frames.,2012,University of Maryland
Relational Reinforcement Learning in Infinite Mario.,2012,University of Michigan
Coding Scheme for Optimizing Random I/O Performance.,2012,Tel Aviv University
Constant-Optimized Quantum Circuits for Modular Multiplication and Exponentiation.,2012,University of Michigan
Efficient Approximation Algorithms for Optimal Large-scale Network Monitoring.,2012,University of Michigan
Data Structure Lower Bounds on Random Access to Grammar-Compressed Strings.,2012,Tel Aviv University
Correlation/Communication complexity of generating bipartite states.,2012,University of Michigan
Communication over Individual Channels -- a general framework.,2012,Tel Aviv University
On Pseudocodewords and Improved Union Bound of Linear Programming Decoding of HDPC Codes.,2012,Tel Aviv University
Local-Optimality Guaranties for Optimal Decoding Based on Paths.,2012,Tel Aviv University
Quantum Simpsons Paradox and High Order Bell-Tsirelson Inequalities.,2012,University of Michigan
On the Core of Dynamic Cooperative Games.,2012,Tel Aviv University
A Receding Horizon Strategy for Systems with Interval-Wise Energy Constraints.,2012,University of Maryland
Probabilistic Similarity Logic.,2012,University of Maryland
Variance-Based Rewards for Approximate Bayesian Reinforcement Learning.,2012,University of Michigan
Online Load Balancing on Unrelated Machines with Startup Costs.,2012,Tel Aviv University
Isomorphism of graph classes related to the circular-ones property.,2012,Tel Aviv University
How to Estimate Change from Samples.,2012,Tel Aviv University
Bayesian Optimal Auctions via Multi- to Single-agent Reduction.,2012,University of Maryland
Asynchrony from Synchrony.,2012,Tel Aviv University
Diffusion of Real-Time Information in Social-Physical Networks.,2012,University of Maryland
A reverse engineering approach to the suppression of citation biases reveals universal properties of citation distributions.,2012,University of Maryland
Improved Approximation for Orienting Mixed Graphs.,2012,Tel Aviv University
Dynamic Sender-Receiver Games.,2012,Tel Aviv University
Analysis of complex contagions in random multiplex networks.,2012,University of Maryland
Doubleclick Ad Exchange Auction.,2012,Tel Aviv University
Set It and Forget It: Approximating the Set Once Strip Cover Problem.,2012,Tel Aviv University
Tightish Bounds on Davenport-Schinzel Sequences.,2012,University of Michigan
Space-Time MIMO Multicasting.,2012,Tel Aviv University
Scalable Frames.,2012,University of Maryland
Distributed Function Computation Under Privacy Constraints.,2012,University of Maryland
Efficient Iterative Decoding of LDPC in the Presence of Strong Phase Noise.,2012,Tel Aviv University
Alternative Tilings for the Fast Multipole Method on the Plane.,2012,University of Maryland
Social Aspects of Virtual Teams.,2012,Tel Aviv University
A Computational Analysis of Collective Discourse.,2012,University of Michigan
"Distributed Learning, Communication Complexity and Privacy.",2012,Tel Aviv University
Efficient Protocols for Distributed Classification and Optimization.,2012,University of Maryland
"An existing, ecologically-successful genus of collectively intelligent artificial creatures.",2012,University of Michigan
Connectivity Oracles for Planar Graphs.,2012,University of Michigan
Computing the Discrete Fréchet Distance in Subquadratic Time.,2012,Tel Aviv University
Understanding Set Cover: Sub-exponential Time Approximations and Lift-and-Project Methods.,2012,Tel Aviv University
Minimum Description Length Principle for Maximum Entropy Model Selection.,2012,University of Michigan
A Game-Theoretic Model Motivated by the DARPA Network Challenge.,2012,University of Maryland
Optical Solver of Combinatorial Problems: Nano-Technological Approach.,2012,Tel Aviv University
Everywhere-Sparse Spanners via Dense Subgraphs.,2012,Tel Aviv University
Maximum Entropy with Maximum J-Divergence Discrimination for Text Classification.,2012,University of Michigan
Directed Subset Feedback Vertex Set is Fixed-Parameter Tractable.,2012,University of Maryland
Converting online algorithms to local computation algorithms.,2012,Tel Aviv University
A simpler derivation of the coding theorem.,2012,Tel Aviv University
Stable Throughput in a Cognitive Wireless Network.,2012,University of Maryland
Tight Lower Bounds on Envy-Free Makespan Approximation.,2012,Tel Aviv University
Graph spectra and the detectability of community structure in networks.,2012,University of Michigan
The Network Analytic Extraction .,2012,University of Michigan
Bisimulation-based Approximate Lifted Inference.,2012,University of Maryland
Multiple Source Adaptation and the Renyi Divergence.,2012,Tel Aviv University
Multilingual Topic Models for Unaligned Text.,2012,University of Maryland
Unfair items detection in educational measurement.,2012,Tel Aviv University
Towards the Impossibility of Non-Signalling Privacy Amplification from Time-Like Ordering Constraints.,2012,Tel Aviv University
An NP-Complete Problem in Grid Coloring.,2012,University of Maryland
Spectral Graph Cut from a Filtering Point of View.,2012,University of Maryland
Grey-box GUI Testing: Efficient Generation of Event Sequences.,2012,University of Maryland
Improved Implementation of Point Location in General Two-Dimensional Subdivisions.,2012,Tel Aviv University
Optimal Strategies for Communication and Remote Estimation with an Energy Harvesting Sensor.,2012,University of Michigan
Minimizing Movement: Fixed-Parameter Tractability.,2012,University of Maryland
Posterior contraction of the population polytope in finite admixture models.,2012,University of Michigan
Beeping a Maximal Independent Set.,2012,Tel Aviv University
The Approximate Sum Capacity of the Symmetric Gaussian K-User Interference Channel.,2012,Tel Aviv University
k-Connectivity in Secure Wireless Sensor Networks with Physical Link Constraints - The On/Off Channel Model.,2012,University of Maryland
CARE: Content Aware Redundancy Elimination for Disaster Communications on Damaged Networks.,2012,Tel Aviv University
Coding strategies for the uniform noise rewritable channel with hidden state.,2012,University of Michigan
Knowledge Combination in Graphical Multiagent Model.,2012,University of Michigan
Small Sample Inference for Generalization Error in Classification Using the CUD Bound.,2012,University of Michigan
The Simple Economics of Approximately Optimal Auctions.,2012,University of Maryland
Social Influence in Social Advertising: Evidence from Field Experiments.,2012,University of Michigan
Constrained Automated Mechanism Design for Infinite Games of Incomplete Information.,2012,University of Michigan
Dispersion of Infinite Constellations in Fast Fading Channels.,2012,Tel Aviv University
What you can do with Coordinated Samples.,2012,Tel Aviv University
A retrial system with two input streams and two orbit queues.,2012,Tel Aviv University
Epidemic thresholds of the .,2012,University of Maryland
Density-Difference Estimation.,2012,University of Maryland
Supercharging Recommender Systems using Taxonomies for Learning User Purchase Behavior.,2012,University of Maryland
On the Achievable Communication Rates of Generalized Soliton Transmission Systems.,2012,Tel Aviv University
Polar write once memory codes.,2012,Tel Aviv University
Distributed Structure: Joint Expurgation for the Multiple-Access Channel.,2012,Tel Aviv University
Planning in POMDPs Using Multiplicity Automata.,2012,Tel Aviv University
Self-Confirming Price Prediction for Bidding in Simultaneous Ascending Auctions.,2012,University of Michigan
Predictive Linear-Gaussian Models of Stochastic Dynamical Systems.,2012,University of Michigan
Fitting community models to large sparse networks.,2012,University of Michigan
Hitting Sets Online and Unique-Max Coloring.,2012,Tel Aviv University
Set-valued dynamic treatment regimes for competing outcomes.,2012,University of Michigan
A new coding theorem for three user discrete memoryless broadcast channel.,2012,University of Michigan
Designing FPT algorithms for cut problems using randomized contractions.,2012,University of Maryland
Ideal Parent Structure Learning for Continuous Variable Networks.,2012,Tel Aviv University
Active Model Selection.,2012,University of Michigan
Predictive State Representations: A New Theory for Modeling Dynamical Systems.,2012,University of Michigan
Computing Best-Response Strategies in Infinite Games of Incomplete Information.,2012,University of Michigan
Probabilistic index maps for modeling natural signals.,2012,Tel Aviv University
Minimum-Length Scheduling with Finite Queues: Solution Characterization and Algorithmic Framework.,2012,University of Maryland
The GDOF of 3-user MIMO Gaussian interference channel.,2012,University of Michigan
Evolving Musical Counterpoint: The Chronopoint Musical Evolution System.,2012,University of Maryland
Efficient Snapshot Retrieval over Historical Graph Data.,2012,University of Maryland
Profit Incentive In A Secondary Spectrum Market: A Contract Design Approach.,2012,University of Michigan
RIP Analysis of Modulated Sampling Schemes for Recovering Spectrally Sparse Signals.,2012,University of Maryland
Incidences between points and non-coplanar circles.,2012,Tel Aviv University
Labeling Workflow Views with Fine-Grained Dependencies.,2012,Tel Aviv University
A Model for Minimizing Active Processor Time.,2012,University of Maryland
Local public good provisioning in networks: A Nash implementation mechanism.,2012,University of Michigan
Locally decodable codes and the failure of cotype for projective tensor products.,2012,Tel Aviv University
Invariants for Homology Classes with Application to Optimal Search and Planning Problem in Robotics.,2012,University of Michigan
Musical chairs.,2012,Tel Aviv University
Spectra of random graphs with arbitrary expected degrees.,2012,University of Michigan
Fast Adaptive S-ALOHA Scheme for Event-driven M2M Communications (Journal version).,2012,University of Maryland
LP Rounding for k-Centers with Non-uniform Hard Capacities.,2012,University of Maryland
On Range Searching with Semialgebraic Sets II.,2012,Tel Aviv University
Information-theoretic Dictionary Learning for Image Classification.,2012,University of Maryland
Approaching Utopia: Strong Truthfulness and Externality-Resistant Mechanisms.,2012,Tel Aviv University
A Unified Approach for Modeling and Recognition of Individual Actions and Group Activities.,2012,University of Maryland
Dynamic Pricing of Power in Smart-Grid Networks.,2012,University of Michigan
Optimal Fillings - A new spatial subdivision problem related to packing and covering.,2012,University of Michigan
The Cycle Consistency Matrix Approach to LDPC Absorbing Sets in Separable Circulant-Based Codes.,2012,University of Michigan
Conflict Anticipation in the Search for Graph Automorphisms.,2012,University of Michigan
Graph Symmetry Detection and Canonical Labeling: Differences and Synergies.,2012,University of Michigan
One-bit compressed sensing with non-Gaussian measurements.,2012,University of Michigan
Counting Plane Graphs: Cross-Graph Charging Schemes.,2012,Tel Aviv University
Cross-Bifix-Free Codes Within a Constant Factor of Optimality.,2012,University of Maryland
Simulating Lattice Spin Models on Graphics Processing Units.,2012,Tel Aviv University
Strategy Synthesis for Mean-Payoff Expression Objectives.,2012,Tel Aviv University
Hardness of approximation for quantum problems.,2012,Tel Aviv University
Stabilizability and Norm-Optimal Control Design subject to Sparsity Constraints.,2012,University of Maryland
Decentralized Stochastic Control with Partial History Sharing: A Common Information Approach.,2012,University of Michigan
Efficient Dimensionality Reduction for Canonical Correlation Analysis.,2012,Tel Aviv University
Control Design for Markov Chains under Safety Constraints: A Convex Approach.,2012,University of Maryland
The Complexity of Multi-Mean-Payoff and Multi-Energy Games.,2012,Tel Aviv University
Outage-based ergodic link adaptation for fading channels with delayed CSIT.,2012,University of Michigan
Nash Equilibria for Stochastic Games with Asymmetric Information-Part 1: Finite Games.,2012,University of Michigan
1-Bit Matrix Completion.,2012,University of Michigan
MIMO Two-Way Relaying: A Space-Division Approach.,2012,University of Maryland
Sparsification of Motion-Planning Roadmaps by Edge Contraction.,2012,Tel Aviv University
Recursive Descriptions of Decoding Algorithms and Hardware Architectures for Polar Codes.,2012,Tel Aviv University
A Simple Proof for the Existence of Good Pairs of Nested Lattices.,2012,Tel Aviv University
Secure Degrees of Freedom of One-hop Wireless Networks.,2012,University of Maryland
Memoryless Control Design for Persistent Surveillance under Safety Constraints.,2012,University of Maryland
The Issue-Adjusted Ideal Point Model.,2012,University of Michigan
Sparse Ising Models with Covariates.,2012,University of Michigan
Two-step greedy algorithm for reduced order quadratures.,2012,University of Maryland
Students Perceptions of the Effectiveness of Discussion Boards What can we get from our students for a freebie point.,2012,University of Maryland
Evaluating Discussion Boards on BlackBoard as a Collaborative Learning Tool A Students Survey and Reflections.,2012,University of Maryland
The AND-OR game: Equilibrium Characterization (Working Paper).,2012,Tel Aviv University
Local Bifurcations in DC-DC Converters.,2012,University of Maryland
Finite-State and Pushdown Games with Multi-dimensional Mean-Payoff Objectives.,2012,Tel Aviv University
Joint Cache Partition and Job Assignment on Multi-Core Processors.,2012,Tel Aviv University
A Robust Complex Division in Scilab.,2012,University of Michigan
Single Source - All Sinks Max Flows in Planar Digraphs.,2012,Tel Aviv University
Heuristic Ranking in Tightly Coupled Probabilistic Description Logics.,2012,University of Maryland
Self-Confirming Price Prediction Strategies for Simultaneous One-Shot Auctions.,2012,University of Michigan
Multiple Hypotheses Iterative Decoding of LDPC in the Presence of Strong Phase Noise.,2012,Tel Aviv University
Online Learning in Decentralized Multiuser Resource Sharing Problems.,2012,University of Michigan
Local Correction with Constant Error Rate.,2012,Tel Aviv University
Fast Routing Table Construction Using Small Messages.,2012,Tel Aviv University
Efficient Inner-product Algorithm for Stabilizer States.,2012,University of Michigan
Enhancing the functional content of protein interaction networks.,2012,University of Michigan
On Numbers of Pseudo-Triangulations.,2012,Tel Aviv University
Analysis and Control of Period-Doubling Bifurcation in Buck Converters Using Harmonic Balance.,2012,University of Maryland
Efficient rounding for the noncommutative Grothendieck inequality.,2012,Tel Aviv University
Non-redundant random generation algorithms for weighted context-free languages.,2012,University of Michigan
Sketched SVD: Recovering Spectral Features from Compressive Measurements.,2012,University of Michigan
New constructions of RIP matrices with fast multiplication and fewer rows.,2012,University of Michigan
On the limits of privacy amplification against non-signalling memory attacks.,2012,Tel Aviv University
Chaotic-Map Truly Random Number Generators: Evaluation of Bit-Generation and Post-Processing.,2012,University of Michigan
Edge distribution in generalized graph products.,2012,Tel Aviv University
Genetic Algorithm for Designing a Convenient Facility Layout for a Circular Flow Path.,2012,University of Maryland
Field-normalized Impact Factors: A Comparison of Rescaling versus Fractionally Counted IFs.,2012,University of Maryland
Determining a Loop Material Flow Pattern for Automatic Guided Vehicle Systems on a Facility Layout.,2012,University of Maryland
Testing probability distributions using conditional samples.,2012,Tel Aviv University
Numerical comparison of different algorithms for construction of wavelet matrices.,2012,University of Maryland
A Case for Customizing Estimators: Coordinated Samples.,2012,Tel Aviv University
Two Algorithms for Finding $k$ Shortest Paths of a Weighted Pushdown Automaton.,2012,University of Maryland
Distributed Adaptive Networks: A Graphical Evolutionary Game-Theoretic View.,2012,University of Maryland
Lossy Compression via Sparse Linear Regression: Computationally Efficient Encoding and Decoding.,2012,University of Michigan
Sparse Regression Codes for Multi-terminal Source and Channel Coding.,2012,University of Michigan
Stochastic Perron's method for Hamilton-Jacobi-Bellman equations.,2012,University of Michigan
A Propagation Model for Provenance Views of Public/Private Workflows.,2012,Tel Aviv University
Budgeted Learning of Naive-Bayes Classifiers.,2012,University of Michigan
A Distance-Based Branch and Bound Feature Selection Algorithm.,2012,Tel Aviv University
The PAPR Problem in OFDM Transmission: New Directions for a Long-Lasting Problem.,2012,Tel Aviv University
Sketch-to-Design: Context-based Part Assembly.,2012,Tel Aviv University
Quickest Detection with Discretely Controlled Observations.,2012,University of Michigan
On the Diversity-Multiplexing Tradeoff of Unconstrained Multiple-Access Channels.,2012,Tel Aviv University
The Complexity of Alternating Move Games.,2012,Tel Aviv University
Robust Optimal Stopping under Volatility Uncertainty.,2013,University of Michigan
Component Games on Regular Graphs.,2013,Tel Aviv University
Crossings in Grid Drawings.,2013,Tel Aviv University
Efficient Nash Computation in Large Population Games with Bounded Influence.,2013,Tel Aviv University
Borrowing strength in hierarchical Bayes: convergence of the Dirichlet base measure.,2013,University of Michigan
On Event Triggered Tracking for Nonlinear Systems.,2013,University of Maryland
Reliable Iterative Condition-Number Estimation.,2013,Tel Aviv University
Parallel Algorithms for Constructing Data Structures for Fast Multipole Methods.,2013,University of Maryland
Importance of Symbol Equity in Coded Modulation for Power Line Communications.,2013,University of Maryland
Efficient Stepwise Selection in Decomposable Models.,2013,University of Maryland
Graphical Models for Game Theory.,2013,University of Michigan
A simple online competitive adaptation of Lempel-Ziv compression with efficient random access support.,2013,Tel Aviv University
Faster Quantum Number Factoring via Circuit Synthesis.,2013,University of Michigan
Deep Learning for Detecting Robotic Grasps.,2013,University of Michigan
Gaussian Process Networks.,2013,Tel Aviv University
Fast Planning in Stochastic Games.,2013,Tel Aviv University
Fast Planning in Stochastic Games.,2013,University of Michigan
Compact Securities Markets for Pareto Optimal Reallocation of Risk.,2013,University of Michigan
Probabilistic State-Dependent Grammars for Plan Recognition.,2013,University of Michigan
Nash Convergence of Gradient Dynamics in Iterated General-Sum Games.,2013,Tel Aviv University
Nash Convergence of Gradient Dynamics in Iterated General-Sum Games.,2013,University of Michigan
One-Round Multi-Party Communication Complexity of Distinguishing Sums.,2013,University of Maryland
Integration of knowledge to support automatic object reconstruction from images and 3D data.,2013,University of Michigan
A new achievable rate region for the multiple access channel with noncausal states.,2013,University of Michigan
Computing sum of sources over an arbitrary multiple access channel.,2013,University of Michigan
On the achievable region for interference networks with point-to-point codes.,2013,University of Michigan
LA-LDA: A Limited Attention Topic Model for Social Recommendation.,2013,University of Maryland
Precoded Integer-Forcing Equalization Universally Achieves the MIMO Capacity up to a Constant Gap.,2013,Tel Aviv University
A Universal Probability Assignment for Prediction of Individual Sequences.,2013,Tel Aviv University
Hybrid Probabilistic Programs: Algorithms and Complexity.,2013,University of Maryland
Learning Bayesian Network Structure from Massive Datasets: The Sparse Candidate Algorithm.,2013,Tel Aviv University
On the Complexity of Policy Iteration.,2013,Tel Aviv University
On the Complexity of Policy Iteration.,2013,University of Michigan
Approximate Planning for Factored POMDPs using Belief State Simplification.,2013,University of Michigan
Graphical Representations of Consensus Belief.,2013,University of Michigan
Link prediction for partially observed networks.,2013,University of Michigan
Utility Elicitation as a Classification Problem.,2013,University of Maryland
Exact Inference of Hidden Structure from Sample Data in Noisy-OR Networks.,2013,Tel Aviv University
Incremental Tradeoff Resolution in Qualitative Probabilistic Networks.,2013,University of Michigan
Using Qualitative Relationships for Bounding Probability Distributions.,2013,University of Michigan
Correcting Camera Shake by Incremental Sparse Approximation.,2013,University of Michigan
Probe Scheduling for Efficient Detection of Silent Failures.,2013,Tel Aviv University
When are the most informative components for inference also the principal components?,2013,University of Michigan
Inference with Idempotent Valuations.,2013,University of Michigan
An Information-Theoretic Analysis of Hard and Soft Assignment Methods for Clustering.,2013,Tel Aviv University
Representing Aggregate Belief through the Competitive Equilibrium of a Securities Market.,2013,University of Michigan
The Importance of Tie-Breaking in Finite-Blocklength Bounds.,2013,Tel Aviv University
On the list decodability of random linear codes with large error rate.,2013,University of Michigan
Acquaintance Time of a Graph.,2013,Tel Aviv University
Distinct distances on two lines.,2013,Tel Aviv University
A Quasi-Polynomial Time Partition Oracle for Graphs with an Excluded Minor.,2013,Tel Aviv University
Message-Passing Algorithms for Packing and Covering Linear Programs with Zero-One Matrices.,2013,Tel Aviv University
Plan Development using Local Probabilistic Models.,2013,University of Michigan
On the Sample Complexity of Learning Bayesian Networks.,2013,Tel Aviv University
Toward a Market Model for Bayesian Inference.,2013,University of Michigan
Optimal Factory Scheduling using Stochastic Dominance A*.,2013,University of Michigan
Tap-Wave-Rub: Lightweight Malware Prevention for Smartphones Using Intuitive Human Gestures.,2013,University of Michigan
Decentralized Event-Triggering for Control of Nonlinear Systems.,2013,University of Maryland
Data Placement and Replica Selection for Improving Co-location in Distributed Environments.,2013,University of Maryland
Moving target inference with hierarchical Bayesian models in synthetic aperture radar imagery.,2013,University of Michigan
Channel-Aware Random Access in the Presence of Channel Estimation Errors.,2013,University of Maryland
"Accounting for Context in Plan Recognition, with Application to Traffic Monitoring.",2013,University of Michigan
Path Planning under Time-Dependent Uncertainty.,2013,University of Michigan
Linear Coding Schemes for the Distributed Computation of Subspaces.,2013,University of Michigan
Graph-based Generalization Bounds for Learning Binary Relations.,2013,University of Maryland
On Sharing Private Data with Multiple Non-Colluding Adversaries.,2013,University of Maryland
Secure Degrees of Freedom of the Gaussian Wiretap Channel with Helpers and No Eavesdropper CSI: Blind Cooperative Jamming.,2013,University of Maryland
Missing Entries Matrix Approximation and Completion.,2013,Tel Aviv University
The Automated Mapping of Plans for Plan Recognition.,2013,University of Michigan
State-space Abstraction for Anytime Evaluation of Probabilistic Networks.,2013,University of Michigan
Torque Saturation in Bipedal Robotic Walking through Control Lyapunov Function Based Quadratic Programs.,2013,University of Maryland
Torque Saturation in Bipedal Robotic Walking through Control Lyapunov Function Based Quadratic Programs.,2013,University of Michigan
Approximation Algorithms for Stochastic Boolean Function Evaluation and Stochastic Submodular Set Cover.,2013,University of Maryland
Multi-relational Learning Using Weighted Tensor Decomposition with Modular Loss.,2013,University of Maryland
Random Subdictionaries and Coherence Conditions for Sparse Signal Recovery.,2013,University of Maryland
Energy Cooperation in Energy Harvesting Communications.,2013,University of Maryland
Structural Results and Explicit Solution for Two-Player LQG Systems on a Finite Time Horizon.,2013,University of Michigan
On Random Sampling Auctions for Digital Goods.,2013,University of Maryland
Subgraphs Satisfying MSO Properties on z-Topologically Orderable Digraphs.,2013,Tel Aviv University
Geospatial Optimization Problems.,2013,University of Maryland
Distributed Learning of Gaussian Graphical Models via Marginal Likelihoods.,2013,University of Michigan
Empirical Probabilities in Monadic Deductive Databases.,2013,University of Maryland
Non-monotonic Negation in Probabilistic Deductive Databases.,2013,University of Maryland
Exploiting Opportunistic Physical Design in Large-scale Data Analytics.,2013,University of Maryland
Scalable Text and Link Analysis with Mixed-Topic Link Models.,2013,University of Maryland
A Signal Constellation for Pilotless Communications Over Wiener Phase Noise Channels.,2013,Tel Aviv University
Coauthorship and citation in scientific publishing.,2013,University of Michigan
Chasing the k-colorability threshold.,2013,Tel Aviv University
Exploiting Functional Dependencies in Qualitative Probabilistic Reasoning.,2013,University of Michigan
Analysis of bibliometric indicators for individual scholars in a large data set.,2013,University of Maryland
How Hard is Counting Triangles in the Streaming Model.,2013,Tel Aviv University
Semantic Tagging on Historical Maps.,2013,University of Michigan
Towards a Workload for Evolutionary Analytics.,2013,University of Maryland
Linear codes on posets with extension property.,2013,University of Maryland
RESLVE: Leveraging User Interest to Improve Entity Disambiguation on Short Text.,2013,University of Michigan
Common Information and Secret Key Capacity.,2013,University of Maryland
The Role of Calculi in Uncertain Inference Systems.,2013,University of Michigan
"Taxonomy, Structure, and Implementation of Evidential Reasoning.",2013,Tel Aviv University
Predicting The Performance of Minimax and Product in Game-Tree.,2013,University of Maryland
Qualitative Probabilistic Networks for Planning Under Uncertainty.,2013,University of Michigan
A Framework for Control Strategies in Uncertain Inference Networks.,2013,Tel Aviv University
